id,label,gloss
hypercatalexis,hypercatalectic,extra syllable or syllables at the end of a metrical foot
catalexis,catalectic,"metrically incomplete line of verse, lacking a syllable at the end or ending with an incomplete foot"
acatalexis,acatalectic,metrically complete number of syllables in the final foot
brachycatalexis,brachycatalectic,omission of two syllables at the end of a verse composed of the larger metrical units
anacrusis,anacrustic,unstressed syllable or syllable group that begins a line of verse but is not counted as part of the first foot
acephal,acephalous,"metrically incomplete line of verse, lacking a syllable at the start or starting with an incomplete foot"
broken,broken,"broken over line end, e.g. .../king-/ / /Dom/"
split,split,"using more than one word, e.g. .../Minute/ / .../in it/"
linked,linked,using enjambement
apocopated,apocopated,"parts of words rhyme, e.g. .../feel/ / .../real/ly"
ItalianSonnet,Italian (Petrarchan) sonnet,abba abba cde cde
georgic,georgic,a poem or book dealing with agriculture or rural topics.
chevy-chase,Chevy Chase stanza,"alternating lines of iambic tetrameter and pentameter, in quatrains"
epigram,epigram,"a short poem, especially a satirical one, with a witty or ingenious ending"
eulogy,eulogy,praise of a recently deceased
panegyric,panegyric,praise of a person
monody,monody,lament
distich,distich,couplet
epitaph,epitaph,"a phrase or form of words written in memory of a person who has died, especially as an inscription on a tombstone"
lampoon,lampoon,"publicly criticize (someone or something) by using ridicule, irony, or sarcasm"
pastoral,pastoral,a work of literature portraying an idealized version of country life
epithalamion,epithalamion,song or poem to the bride and bridegroom at their wedding
anacreontic,anacreontic,"a poem written in the style of the ancient Greek poet Anacreon, especially one celebrating love and wine"
eclogue,eclogue,"a short poem, especially a pastoral dialogue"
burlesque,burlesque,"intended to cause laughter by caricaturing the manner or spirit of serious works, or by ludicrous treatment of their subjects"
cento,cento,a poetical work wholly composed of verses or passages taken from other authors disposed in a new form or order
allegory,allegory,"An extended metaphor in which the characters, places, and objects in a narrative carry figurative meaning"
